,title,description
57,Cornish game hen,"Cornish, USDA-approved, young, cook.Despite, be, male, female, develop, large, short, ==, Therese, small, other, produce, succulent, suitable, single, musician, comedian, early, personal, transform, exotic, common"
58,Cowboy beans,"Cowboy, bean, popular, southwestern, dish, pinto, sweet, tangy, Other, be, similar, baked, canned, ranch, have, 19th, stewed, unclear, cowboy, easy, prepare, available, many, same, chili, different, staple, typical, include, ==, Mexican, legume"
59,Crab cake,"popular, various, other, such, sautéed, deep, particular, Mid-Atlantic, be, native, traditional, endemic, many, well-established, prepared, open-faced, french, cole, lemon, Many, small, sandwich, ==, ], Baltimore-Style, foodandwine.com"
60,Creamed corn,"other, such, cream-style, Native, American, soupy, sweetcorn, puréed, liquid, be, include, store-bought, canned, common, ==, maize, portal"
61,Creamed eggs on toast,"American, bechamel, hard-boiled, various, such, black, garlic, many, other, light-colored, use, common, chopped, soft-boiled, traditional, Many, white, have, add, festive, ==, toast, bread, =="
62,Deviled crab,"Spanish, Italian, be, similar, boardwalk-style, oblong, preferred, hand-held, crab, come, ==, deviled, blue, various, other, Cuban-style, cooked, stale, hand-formed, approximate, small, deep, brown, Early, modern, account, common, hot, Spanish/Cuban/Italian, late-1920s, plentiful, nearby, cheap, unknown, inexpensive, own, make, Tampa-style, popular, local, meal, ==, Other, different, mixed, bread, loose, cake, halved, in-shell, south, Asian"
63,Deviled egg,"hard-boiled, mixed, other, such, main, be, first, popular, deviled, 18th, 19th, angel, fat, Other, common, diced, black, cayenne, chipotle, green, pickle, sour, Contemporary, include, garlic, horseradish, wasabi, sliced, hot, different, œuf, kaszinótojás, umplute, ei, Peruvian, many, European, Russian, vegetable, Contrary, suggest, originate, traditional, red, chopped, French, likely, pepper, Hungarian, white, German, anchovy, cheese, full, special, available, salad, d'oeuvre, stuffed, =="
64,Domesticated turkey,"domestic, large, same, wild, turkey, have, central, recent, possible, second, main, Spanish, century.Domestic, popular, be, stags, great, white, visible, brown, bronze-feathered, fleshy, English, early, unrelated, Latin, gallopāvō, chicken, ==, modern, present, major, decorative, humorous, Domestic, Many, distinct, 20th, many, such, 16th-century, European, future, female, late, 19th, goose, beef, common, 17th, 16th, affordable, whole, frozen, distant, commercial, fresh, available, Recent, determine, evolutionary, other, ==, short, frequent, climb, spontaneous, frivolous, Commercial, wide, social, become, distressed, recognise, alien, individual, vocal, 'social, ’, high-pitched, aggressive, develop, intense, sharp, try, peck, grasp, considerable, similar, black, hair-like, bright, red, regular, rapid, characteristic, eighth, maximum, scale, industrial, consumed, receive, presidential, table, single, breed, non-commercial, dark, reddish, rare, gray-blue, green, small, sexed, grow-out, different, rear, following, ensure, encourage, constant, first, assist, °C, infra-red, few, accessible, several, entire, contain, unit.The, vast, purpose-built, modified, allow, solid, artificial, optimise, deep-litter, e.g, controlled, microbial, skilful, High, high, metabolic, susceptible, heat, continuous, long, accelerate, low, reduce, added, nutrient, weigh, voluntary, permissible, Insufficient, lead, broken, pen, feed, drink, dust-bathe, avoid, compromise, light, result, retinal, begin, re-directed, impoverished, beak-trimmed, Ultraviolet-reflective, young, reared, escape, fatal, Frequent, essential, minor, re-introduced, Fatal, occur, stable, single-sex, hence, likely, dominant, Broad-breasted, separate, achieve, natural, Several, able, tough, make, processed, ===, digest, stiff, potential, fabric, much, English-speaking, stuffed, special, eaten, sliced, chicken, sandwich, cold, call, healthy, careful, end, farm-raised, vary, due, preceding, open, holiday, difficult, purchase, take, defrost, enhance, necessary, denature, dry, cook, deep, hot, Deep, hazardous, unprepared, handle, ===, nutritional, cause, post-meal, wood, electric, western, Cornish, //www.josephinedc.com"
65,Doughnut,"British, American, see, etymology, fried, dough, popular, many, various, sweet, be, deep, flour, ring-shaped, ball-shaped, Other, different, such, maple, include, natural, artificial, common, filled, other, small, top, powdered, old-fashioned, yeast-risen, doughnut, fast, ==, long, skinny, outside, inside, doughnut-shaped, make, disk-shaped, form, place, yeast-based, special, Yeast-raised, extra, fry, weigh, whereas, yeast-raised, average, due, ====, top-side, ===, bite-sized, own, center, standard, tend, spherical, Similar, standard, cake, hot, shaped, produce, non-ring, ===, Common, key, available, specialized, square-shaped, modern, early, later, current, Dutch, immense, full, preserved, sure, boast, enormous, oly, delicious, present, genuine, sweetened, first, 18th, mid-19th, thoroughly, have, lime-trading, old, raw, regular, Smithsonian, wicked, deep-fried, lemon, put, cook, domestic, recorded, short, fire-cakes, dough-nuts, doughnuts, rounded, traditional, shortened, pervasive, ====, much, drink, eat, alternative, pronounceable, buy, automated, swallow, 'wel-dun, 'gud, use, defunct, rare, honor, freshly, instant, busy, fresh, local, generic, Cambodian, adept, fellow, Chinese, follow, native, lucky, red, white, recognizable, Due, same, structural, low, gluten, airy, utilize, begin, feed, light, porous, biological, chemical, following, physical, additional, important, main, overall, responsible, elastic, protein, coiled, separate, likely, trap, Molecular, structure-forming, proper, essential, doughnut, fat, phospholipid, fatty, attract, act, unfold, new, gel-like, hold, molecular, typical, solid, liquid, stable, needlelike, beta-prime, sucrose, final, simple, glucose, fructose, large, nonfat, dry, skim, absorb, excess, major, crucial, single, disulfide, sulfide, occur, rebond, weaken, necessary, perform, Pure, pure, high, enhance, ‘, toughen, soft, strengthen, enough, unhealthy, enriched, improve, flow, tangentic, shear, flow, Many, viscoelastic, unique, Regional, similar, spiced, further, yo-yos, few, doughnut-style, regional, Cantonese, oval-shaped, lit, ox-tongue, tongue-like, doughnut-like, prepared, oilier, bean, egg, conjoined, serve, condensed, hence, leavening, unrelated, Indian, wheat, sour, clarified, dense, go, hole, pretzel-shaped, retail, Indonesian, donat, plural, sufganiyot, recent, South, 21st, an-doughnut, azuki, spheroid, boiled, granulated, sugar-crusted, semiliquid, rice, ferment, sel, plain, well-kneaded, refined, Native, northern, distinctive, rope-like, glutinous, range, fluffy, sticky, chewy, hard, crunchy, sesame, loose, creamy, pa, thong, bánh, sesame-topped, hallow, gelatinous, mung, bánh, apricot, second, thick, thin, French, contain, fair, Austrian, uštipci, vanilla, non-filled, cold, donitsi.A, savory, meat, akin, pie, English-speaking, misleading, describe, literal, middle, southern, eastern, U.S.-style, sprinkled, Hungarian, used, rise, German, Polish, Polish, specific, varškės, jam-filled, pronounced, resilient, Romanian, filled, Post-Soviet, Russian, whole, famous, central, berlinesas, fermented, several, another.The, ribbed, tortelli, Finnish, Swedish, Ukrainian, yeast, bukwheat, pampushky, nut-shaped, rope-shaped, possible, certain, sprinkle-iced, gravy, archaic, cube-shaped, rectangular, cream-filled, robust, keep, fried-dough, pastry-based, fancy, potato, ubiquitous, Hawaiian, Portuguese, eggy, celebrate, open, square, Australian, mixed, Popular, custard-filled, high-traffic, Traditional, not-for-profit, sell, molasses-based, individual, Canadian, successful, quick, sketch, fictional, metropolitan, video, prominent, focal, consume, citywide, lockdown, remain, vast, notable, former"
66,Drunken chicken,"alcoholic, many, ==, different, drunken, popular, eastern, historic, create, deep, whole, steamed, Chinese, distilled, chilled, liquor-flavored, traditional, culinary, have, be, recent, huge, marginal, flavour, dish, main, basic, ==, pollo, green, black, chicken, au"
67,Eggo,"frozen, Several, available, brown, French, cheese, mid-June, ==, be, require, prepare, synonymous, local, give, have, maple, cinnamon, key, global, favorite, Notable, due, several, severe, =="
68,Eggs Benedict,"American, brunch, English, poached, first, former, retired, find, crisp, impressed, luncheon, toasted, later, recipe—by, hot, hard-cooked, ==, streaky, underneath, poached, small, salmon, smoked, common, serve, avocado, and/or, such, salsa, salsa, Irish, corned, slow, own, large, hash, lemon, promote, audio"
69,Eggs Neptune,"layered, brunch, dish, Canadian, =="
70,Energy bar,"supplemental, other, high, quick, have, ==, typical, likely, supply, provide, various, complex, fast, contain, sugar, due, type, require, low, improve, minimum, main, cocoa, dark, athletic, outdoor"
71,Engastration,"==, camel, 2012-11-22"
72,Fajita,"Spanish, listen, grilled, skirt, Popular, other, shredded, sour, refried, northern, ==, Tex-Mex, Texan-Mexican, American, diminutive, little, common, make, have, Spanish, such, green/red/yellow, jalapeno, first, culinary, ranch, cattle, feed, head, tripe, limited, available, fajita, regional, obscure, many, familiar, vaqueros, various, numerous, southern, unknown, recent, popular, casual, warmed, and/or"
73,Fortune cookie,"sugary, sesame, vague, include, Chinese, lucky, lottery, few, distinct, recorded, be, high, other, Western, exact, unclear, various, immigrant, have, early, 20th, Japanese, late, ==, 19th, similar, modern, temple, several, little, small, hollow, first, fortune, settle, key, Smart, federal, much, main, responsible, cakes.Fortune, American, drop, become, many, familiar, ===, legend, ===, false, genuine, expand, vast, large, local, sell, Powerball, same, fast, cook, hot, shape, shaped, right, different, nutritional, 20-30, 5-7, total, contain, significant, overall, Chinese-Peruvian, multi-cultural, Lucky, red, taco-shaped, Italian, original, Asian, go, only, senior, Asian-American, ethnic, English, single, describe, more-or-less, literal, 幸运籤饼, good, bǐng, sweet, 占卜饼, ==, popular, non-Chinese, unfamiliar, hilarious, come, bad, iconic, cookie-shaped, silver-plated, cookie, university, common, [, sexual, bizarre, gallows, 0-446-58007-4, External, Brief, great"
74,French dip,"French, hot, sandwich, other, au, American, refer, be, present, wet, double, own, complement, unresolved, have, several, police, Other, want, go, waste, stale, sympathetic, due, observable, standard, similar"
75,Fried chicken,"dish, pan-fried, deep, other, fried, intact, well-seasoned, excess, first, have, popular, Scottish, deep, fry, West, African, seasoned, palm, enslaved, synthetic, Second, intensive, industrial, chicken, expensive, special, late, early, such, create, ready, be, large, fast, normal, racial, African-American, ==, 4th, deep-fried, American, southern, independent, noted, live, rare, faster-growing, due, European, Asian, 19th, small-scale, inexpensive, small, short, Many, fundamental, many, common, economic, caloric, available, heavy, controllable, work, traditional, unable, raise, keep, general, hot, black, top, strong, 20th, exaggerated, pejorative, ethnic, several, young, suitable, chicken, compensate, cool, dry, tough, swiss, own, commercial, give, mashed, biscuits.The, greasy, certain, fat, low, various, contain, average, whole, main, cook, white, dark, thigh, drumstick, discarded.To, prepare, similar, dry, coat, develop, cayenne, garlic, ranch, flavorful, fresh, green, all-purpose, open, dried, same, vegetable, colonial, olive, unsuitable, shallow, frying, sturdy, immerse, prepared, seal, turn, skin, necessary, add, enhance, make, gravy.Deep, high, desired, constant, accelerate, moist, derivative, tenderized, cooked, Global, different, augment, uncommon, flavor, regional, local, appear, global, industrialized, suit, ===, Serbian, few, crisp, boneless, cayenne-pepper, rib, long, Chicken, French, native, haute, overall, reconstituted, little, popcorn.Popcorn, soul, assorted, Malaysian, absent, fermented, Japanese, pepper, 盐酥鸡, karaage, five-spice, Taiwanese, North, bubble, salt, pepper, panko-breaded, Korean, 양념, shrimp, Kong-style, puréed, sour, Sichuan-style, stir-fried, Indian, spiced, Racial, only, prevalent, avoid, following, second, invite, dinner, settle, ongoing, round, serve, wrong, hurtful, inappropriate, change, operate, offensive, ignorant.In, controversial, remove, apologize, Real, back, collect, huh, new, External"
